Network Name,IP Address,u_marsha,u_lsp
BNAOP,50.237.134.163,BNAOP,Allbridge
RICNW,65.216.134.3,RICNW,Comcast Business
BNACA,12.107.237.141,BNACA,Comcast Business
BNAFP,12.71.208.243,BNAFP,SafetyNetAccess
MIAMS,134.204.37.117,MIAMS,HotSpot International
YGKFP,204.101.207.140,YGKFP,Concord
YGKFP,204.101.207.140,YGKFP,Concord
ATLDC,12.70.20.98,ATLDC,SafetyNetAccess
BNABR,12.153.6.10,BNABR,SafetyNetAccess
BOSBC,206.66.84.236,BOSBC,SafetyNetAccess
BOSDH,50.234.29.132,BOSDH,SafetyNetAccess
BWICB,65.242.119.250,BWICB,SafetyNetAccess
BWIDH,8.23.51.8,BWIDH,SafetyNetAccess
CAKFC,12.238.143.200,CAKFC,SafetyNetAccess
CLEFP,70.60.132.62,CLEFP,SafetyNetAccess
CMHWI,98.100.82.212,CMHWI,SafetyNetAccess
CVGAP,216.68.36.161,CVGAP,SafetyNetAccess
CVGCA,216.68.60.203,CVGCA,SafetyNetAccess
DALLS,172.108.196.66,DALLS,SafetyNetAccess
DALTG,97.77.36.197,DALTG,SafetyNetAccess
DAYSH,98.102.147.5,DAYSH,SONIFI
DENAF,65.114.197.130,DENAF,SafetyNetAccess
DENTN,65.140.151.190,DENTN,SafetyNetAccess
DFWGV,97.77.36.196,DFWGV,SafetyNetAccess
FSDSI,65.98.159.188,FSDSI,SafetyNetAccess
GPTRI,12.170.33.130,GPTRI,SafetyNetAccess
HARET,50.225.215.170,HARET,SafetyNetAccess
HOUDM,12.189.113.124,HOUDM,SafetyNetAccess
HOUGI,67.200.234.5,HOUGI,SafetyNetAccess
HSVHW,12.215.206.34,HSVHW,SafetyNetAccess
ILECY,8.9.41.116,ILECY,SONIFI
INDES,216.238.24.140,INDES,SafetyNetAccess
INDPS,12.195.22.34,INDPS,SafetyNetAccess
LASHD,4.2.42.195,LASHD,SafetyNetAccess
LAXCE,66.171.146.243,LAXCE,Blueprint RF
MCIMT,169.130.188.60,MCIMT,SafetyNetAccess
MIAFS,12.237.164.131,MIAFS,SafetyNetAccess
MIATA,12.215.83.35,MIATA,SafetyNetAccess
MSLRI,12.5.127.130,MSLRI,SafetyNetAccess
PBIRH,50.233.66.16,PBIRH,SafetyNetAccess
PHLMH,50.20.5.194,PHLMH,SafetyNetAccess
PHLVO,216.178.65.130,PHLVO,SONIFI
PHXSI,207.225.163.165,PHXSI,SafetyNetAccess
RKHTS,208.104.91.130,RKHTS,SafetyNetAccess
SACEX,50.201.182.236,SACEX,SafetyNetAccess
SDFLA,12.68.236.230,SDFLA,SafetyNetAccess
SDFRA,12.68.236.195,SDFRA,Cloud5
SNAIR,12.184.93.115,SNAIR,SafetyNetAccess
STLOF,12.28.46.35,STLOF,SafetyNetAccess
VELSH,67.213.234.99,VELSH,SONIFI
VELTS,67.213.230.244,VELTS,SONIFI
WASWD,50.233.152.2,WASWD,SONIFI
YNGFS,98.103.62.3,YNGFS,SONIFI
YYZDA,38.117.106.180,YYZDA,SafetyNetAccess
ABYFX,97.64.243.118,ABYFX,Comcast Business
AGSCH,209.64.133.6,AGSCH,Comcast Business
ALBBR,184.74.19.188,ALBBR,Comcast Business
AGSRI,66.49.112.52,AGSRI,Comcast Business
ATLKB,12.148.90.211,ATLKB,Blueprint RF
AUSFI,12.36.164.104,AUSFI,Comcast Business
BHMAL,12.49.40.11,BHMAL,Comcast Business
BOIFI,184.155.139.210,BOIFI,Comcast Business
BOSDE,50.204.117.130,BOSDE,Comcast Business
BQKCJ,98.19.96.21,BQKCJ,Comcast Business
BQKRJ,98.19.96.20,BQKRJ,Comcast Business
CLENO,12.219.242.195,CLENO,Comcast Business
DAYML,12.207.121.8,DAYML,Comcast Business
DTTTR,63.85.222.136,DTTTR,Comcast Business
FLLCY,12.216.122.4,FLLCY,Comcast Business
HARSI,208.240.59.227,HARSI,Comcast Business
IAHFP,50.208.73.179,IAHFP,Comcast Business
IDARI,63.230.116.164,IDARI,Comcast Business
INDAP,12.18.146.211,INDAP,Comcast Business
INDFA,12.215.69.52,INDFA,Comcast Business
LANTS,50.232.76.147,LANTS,Comcast Business
LAXCH,65.204.170.68,LAXCH,Comcast Business
LNKCY,76.79.31.115,LNKCY,Comcast Business
MCOCH,12.217.56.67,MCOCH,Comcast Business
MDWTS,107.1.155.12,MDWTS,Comcast Business
MSYCM,12.147.77.56,MSYCM,Comcast Business
PDXAK,70.99.6.60,PDXAK,Comcast Business
PDXPD,65.154.106.6,PDXPD,Comcast Business
PHLML,65.196.68.142,PHLML,Comcast Business
PHLWL,65.216.154.69,PHLWL,Comcast Business
PHXAC,63.237.185.202,PHXAC,Comcast Business
SAVCH,12.207.216.3,SAVCH,Comcast Business
SFOFA,50.226.47.212,SFOFA,Comcast Business
SFOSN,50.227.211.196,SFOSN,Comcast Business
SFOSU,50.227.215.53,SFOSU,Comcast Business
SJCAK,66.201.56.4,SJCAK,Comcast Business
SJCFV,12.220.155.20,SJCFV,Comcast Business
SLCLG,65.115.218.242,SLCLG,Comcast Business
SLCSD,97.75.163.35,SLCSD,Comcast Business
SNABP,12.139.135.13,SNABP,Comcast Business
SNAPK,12.40.67.214,SNAPK,Comcast Business
TPAAP,172.109.167.93,TPAAP,Comcast Business
TPASL,144.129.2.35,TPASL,Comcast Business
WASFK,50.216.174.36,WASFK,Comcast Business
WASTO,98.175.7.44,WASTO,Comcast Business
LAXCV,12.172.110.85,LAXCV,HotSpot International
LAXFR,66.214.145.126,LAXFR,HotSpot International
NYCQL,40.129.123.99,NYCQL,HotSpot International
SANSD,70.168.58.170,SANSD,HotSpot International
SANVI,174.77.162.201,SANVI,SONIFI
ALBFW,184.74.85.150,ALBFW,HotSpot International
ALBTX,24.105.198.213,ALBTX,HotSpot International
ATLCR,24.49.145.67,ATLCR,HotSpot International
ATLMD,12.138.118.254,ATLMD,HotSpot International
BDLDT,104.226.20.123,BDLDT,HotSpot International
BDLCW,50.200.238.110,BDLCW,HotSpot International
BDLHO,50.226.130.190,BDLHO,HotSpot International
BDLSI,174.77.115.233,BDLSI,HotSpot International
BMGCF,50.236.89.158,BMGCF,HotSpot International
BWIDI,192.210.28.133,BWIDI,HotSpot International
BWILS,206.136.105.30,BWILS,HotSpot International
CAEAL,98.101.184.158,CAEAL,HotSpot International
CDWTS,50.239.227.190,CDWTS,HotSpot International
CIDCR,74.84.124.231,CIDCR,HotSpot International
CMHCG,216.70.44.84,CMHCG,HotSpot International
CMHFG,12.132.134.236,CMHFG,HotSpot International
DALGV,97.77.89.158,DALGV,HotSpot International
DALSW,71.15.116.126,DALSW,HotSpot International
DFWDE,131.150.74.126,DFWDE,HotSpot International
DFWDN,75.140.228.78,DFWDN,HotSpot International
DFWFI,128.92.217.78,DFWFI,HotSpot International
DSMCM,206.226.69.34,DSMCM,Parity
DTWMB,50.201.51.212,DTWMB,HotSpot International
FNTFG,50.227.60.70,FNTFG,HotSpot International
FLLFP,24.145.78.244,FLLFP,HotSpot International
FWASW,184.17.61.58,FWASW,HotSpot International
GSONC,12.53.251.10,GSONC,HotSpot International
HGRMB,50.239.20.4,HGRMB,HotSpot International
HGRSC,63.145.207.30,HGRSC,HotSpot International
HOUTB,50.227.246.142,HOUTB,HotSpot International
HPNNB,69.193.159.94,HPNNB,Parity
ILGWD,151.181.230.30,ILGWD,HotSpot International
ILGTS,50.77.81.125,ILGTS,HotSpot International
INDDE,50.239.108.30,INDDE,HotSpot International
LBESS,50.237.25.222,LBESS,HotSpot International
