LSP,Contact
Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
Concord,LSP-Concord <LSP-Concord@marriottonline.onmicrosoft.com>
DeepBlueCommunications (added to Comcast),LSP-Comcast@marriottonline.onmicrosoft.com
Esferize,Arturo R. Sanz <arsanz@esferize.com>; Eduardo Aparicio <eaparicio@esferize.com>
FourteenIP,"Cunliffe, Dan (SP) <Dan.Cunliffe@marriott-sp.com>;"
GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
Hoist Group,Nicolas Delaporte <nicolas.delaporte@hoistgroup.com>;
HotSpot International,Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
interTouch,Angelo Roque <angelo.roque@intertouch.com>;
LinkBroad,stephen.shi <stephen.shi@linkbroad.com>; digger.wu@linkbroad.com
Microsense,Balbeer Singh <bsingh@microsensenetworks.com> ; mailto:imran@microsensenetworks.com; mailto:sanjoy.d@microsensenetworks.com
Mikenopa,Bartosz Puszkiewicz <bartosz.puszkiewicz@mikenopa.com>; Mikenopa Trio <trio@mikenopa.com>; Gisbert Haas <Gisbert.Haas@mikenopa.com>
NEC,Hara Kanon(????) <hara.kanon.za@nesic.com>; nesic-mipj@ml.nesic.com; Sakai Masaya(?????) <sakai.masaya.za@nesic.com>
NimbusNetworks,Rene Villalobos <rvillalobos@nimbusnetworks.com>; Rene Villalobos <rvillalobos@nimbusnetworks.com>
Parity (Added to hotspot),Gavian Gough <ggough@paritysolutions.com>; Gressya Reyes <gressya.reyes@hotspotinternational.com>
Quadriga,"Simon.Streten@quadriga.com; Lilley, James <James.Lilley@quadriga.com>; Narayanan, Anantha <anantha.narayanan@quadriga.com>"
Reivernet,Joseph Deo <joseph.deo@reivernet.com>; matt.fenton@reivernet.com; GNOC.Management <gnoc.management@reivernet.com>
SafetyNetAccess,LSP-SafetyNetAccess <LSP-SafetyNetAccess@marriottonline.onmicrosoft.com>
SingleDigits,LSP-SingleDigits <LSP-SingleDigits@marriottonline.onmicrosoft.com>
SONIFI,LSP-SONIFI <LSP-SONIFI@marriottonline.onmicrosoft.com>
