Network Name,IP Address,u_marsha,u_lsp,LSP,Contact
BNAOP,50.237.134.163,BNAOP,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
ATLRE,134.56.64.51,ATLRE,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
AZOZO,96.36.55.130,AZOZO,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
CHIXS,198.41.89.115,CHIXS,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
CLEAK,70.61.255.230,CLEAK,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
DALAC,12.47.142.194,DALAC,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
DALAS,192.210.23.146,DALAS,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
DALPR,97.105.138.146,DALPR,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
DENDA,65.126.187.66,DENDA,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
DENFI,199.117.93.194,DENFI,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
DFWAR,12.5.251.3,DFWAR,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
DFWTW,12.202.118.34,DFWTW,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
DROFI,69.39.5.218,DROFI,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
EWRMV,69.74.89.52,EWRMV,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
GSOCY,70.61.84.123,GSOCY,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
LITRV,216.163.8.138,LITRV,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
LRUTS,216.161.41.55,LRUTS,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
MGMTM,24.96.80.20,MGMTM,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
